Ref_Date,GEO,Geographical classification,INDEX,Vector,Coordinate,Value
1981/01,Canada,,Total (house and land),v53600422,1.1,44.9
1981/02,Canada,,Total (house and land),v53600422,1.1,45.4
1981/03,Canada,,Total (house and land),v53600422,1.1,46.2
1981/04,Canada,,Total (house and land),v53600422,1.1,47.0
1981/05,Canada,,Total (house and land),v53600422,1.1,47.7
1981/06,Canada,,Total (house and land),v53600422,1.1,47.9
1981/07,Canada,,Total (house and land),v53600422,1.1,47.9
1981/08,Canada,,Total (house and land),v53600422,1.1,47.7
1981/09,Canada,,Total (house and land),v53600422,1.1,47.5
1981/10,Canada,,Total (house and land),v53600422,1.1,47.4
1981/11,Canada,,Total (house and land),v53600422,1.1,47.2
1981/12,Canada,,Total (house and land),v53600422,1.1,47.3
1982/01,Canada,,Total (house and land),v53600422,1.1,47.4
1982/02,Canada,,Total (house and land),v53600422,1.1,47.4
1982/03,Canada,,Total (house and land),v53600422,1.1,47.1
1982/04,Canada,,Total (house and land),v53600422,1.1,47.0
1982/05,Canada,,Total (house and land),v53600422,1.1,46.6
1982/06,Canada,,Total (house and land),v53600422,1.1,46.2
1982/07,Canada,,Total (house and land),v53600422,1.1,45.8
1982/08,Canada,,Total (house and land),v53600422,1.1,45.6
1982/09,Canada,,Total (house and land),v53600422,1.1,45.2
1982/10,Canada,,Total (house and land),v53600422,1.1,45.0
1982/11,Canada,,Total (house and land),v53600422,1.1,44.7
1982/12,Canada,,Total (house and land),v53600422,1.1,44.6
1983/01,Canada,,Total (house and land),v53600422,1.1,44.6
1983/02,Canada,,Total (house and land),v53600422,1.1,44.5
1983/03,Canada,,Total (house and land),v53600422,1.1,44.4
1983/04,Canada,,Total (house and land),v53600422,1.1,44.4
1983/05,Canada,,Total (house and land),v53600422,1.1,44.3
1983/06,Canada,,Total (house and land),v53600422,1.1,44.4
1983/07,Canada,,Total (house and land),v53600422,1.1,44.4
1983/08,Canada,,Total (house and land),v53600422,1.1,44.6
1983/09,Canada,,Total (house and land),v53600422,1.1,44.6
1983/10,Canada,,Total (house and land),v53600422,1.1,44.6
1983/11,Canada,,Total (house and land),v53600422,1.1,44.7
1983/12,Canada,,Total (house and land),v53600422,1.1,44.6
1984/01,Canada,,Total (house and land),v53600422,1.1,44.6
1984/02,Canada,,Total (house and land),v53600422,1.1,44.7
1984/03,Canada,,Total (house and land),v53600422,1.1,44.8
1984/04,Canada,,Total (house and land),v53600422,1.1,44.9
1984/05,Canada,,Total (house and land),v53600422,1.1,44.9
1984/06,Canada,,Total (house and land),v53600422,1.1,44.8
1984/07,Canada,,Total (house and land),v53600422,1.1,44.8
1984/08,Canada,,Total (house and land),v53600422,1.1,44.7
1984/09,Canada,,Total (house and land),v53600422,1.1,44.6
1984/10,Canada,,Total (house and land),v53600422,1.1,44.6
1984/11,Canada,,Total (house and land),v53600422,1.1,44.4
1984/12,Canada,,Total (house and land),v53600422,1.1,44.5
1985/01,Canada,,Total (house and land),v53600422,1.1,44.6
1985/02,Canada,,Total (house and land),v53600422,1.1,44.6
1985/03,Canada,,Total (house and land),v53600422,1.1,44.8
1985/04,Canada,,Total (house and land),v53600422,1.1,44.8
1985/05,Canada,,Total (house and land),v53600422,1.1,44.8
1985/06,Canada,,Total (house and land),v53600422,1.1,45.0
1985/07,Canada,,Total (house and land),v53600422,1.1,45.1
1985/08,Canada,,Total (house and land),v53600422,1.1,45.3
1985/09,Canada,,Total (house and land),v53600422,1.1,45.6
1985/10,Canada,,Total (house and land),v53600422,1.1,45.8
1985/11,Canada,,Total (house and land),v53600422,1.1,46.0
1985/12,Canada,,Total (house and land),v53600422,1.1,46.2
1986/01,Canada,,Total (house and land),v53600422,1.1,46.8
1986/02,Canada,,Total (house and land),v53600422,1.1,47.4
1986/03,Canada,,Total (house and land),v53600422,1.1,47.7
1986/04,Canada,,Total (house and land),v53600422,1.1,47.9
1986/05,Canada,,Total (house and land),v53600422,1.1,48.3
1986/06,Canada,,Total (house and land),v53600422,1.1,48.5
1986/07,Canada,,Total (house and land),v53600422,1.1,48.9
1986/08,Canada,,Total (house and land),v53600422,1.1,49.3
1986/09,Canada,,Total (house and land),v53600422,1.1,50.3
1986/10,Canada,,Total (house and land),v53600422,1.1,50.8
1986/11,Canada,,Total (house and land),v53600422,1.1,51.5
1986/12,Canada,,Total (house and land),v53600422,1.1,51.8
1987/01,Canada,,Total (house and land),v53600422,1.1,52.2
1987/02,Canada,,Total (house and land),v53600422,1.1,53.1
1987/03,Canada,,Total (house and land),v53600422,1.1,54.7
1987/04,Canada,,Total (house and land),v53600422,1.1,55.4
1987/05,Canada,,Total (house and land),v53600422,1.1,55.9
1987/06,Canada,,Total (house and land),v53600422,1.1,56.1
1987/07,Canada,,Total (house and land),v53600422,1.1,56.4
1987/08,Canada,,Total (house and land),v53600422,1.1,56.7
1987/09,Canada,,Total (house and land),v53600422,1.1,57.2
1987/10,Canada,,Total (house and land),v53600422,1.1,57.5
1987/11,Canada,,Total (house and land),v53600422,1.1,57.7
1987/12,Canada,,Total (house and land),v53600422,1.1,57.8
1988/01,Canada,,Total (house and land),v53600422,1.1,58.0
1988/02,Canada,,Total (house and land),v53600422,1.1,58.6
1988/03,Canada,,Total (house and land),v53600422,1.1,59.1
1988/04,Canada,,Total (house and land),v53600422,1.1,60.2
1988/05,Canada,,Total (house and land),v53600422,1.1,61.0
1988/06,Canada,,Total (house and land),v53600422,1.1,61.5
1988/07,Canada,,Total (house and land),v53600422,1.1,61.7
1988/08,Canada,,Total (house and land),v53600422,1.1,62.2
1988/09,Canada,,Total (house and land),v53600422,1.1,63.4
1988/10,Canada,,Total (house and land),v53600422,1.1,63.8
1988/11,Canada,,Total (house and land),v53600422,1.1,64.7
1988/12,Canada,,Total (house and land),v53600422,1.1,65.5
1989/01,Canada,,Total (house and land),v53600422,1.1,66.2
1989/02,Canada,,Total (house and land),v53600422,1.1,67.8
1989/03,Canada,,Total (house and land),v53600422,1.1,68.9
1989/04,Canada,,Total (house and land),v53600422,1.1,69.5
1989/05,Canada,,Total (house and land),v53600422,1.1,69.7
1989/06,Canada,,Total (house and land),v53600422,1.1,70.1
1989/07,Canada,,Total (house and land),v53600422,1.1,70.3
1989/08,Canada,,Total (house and land),v53600422,1.1,70.3
1989/09,Canada,,Total (house and land),v53600422,1.1,70.6
1989/10,Canada,,Total (house and land),v53600422,1.1,71.0
1989/11,Canada,,Total (house and land),v53600422,1.1,71.4
1989/12,Canada,,Total (house and land),v53600422,1.1,71.9
1990/01,Canada,,Total (house and land),v53600422,1.1,72.5
